# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, t_end(PM), wall_time, fate
4.36, 0.00, 0.2967, 0.0008, 5.5294e-01, 0.3050, 0.0004, -2.2446e-01, 0.2293, 0.0003, 2.0667e-02, 0.1539, 0.0002, 1.1914e-02, 4.3052e+05, 369.83642, collision
4.54, 0.00, 0.3947, 0.0007, -5.9335e-02, 0.3578, 0.0002, 1.7733e-01, 0.3137, 0.0002, 6.8788e-01, 0.1856, 0.0002, -8.9484e-03, 4.4112e+05, 371.32305, collision
4.59, 0.00, 0.2582, 0.0001, 1.4796e+00, 0.3404, 0.0002, -4.4757e-01, 0.4696, 0.0002, 2.3115e-01, 0.1507, 0.0001, 2.1684e-01, 4.6728e+05, 390.31209, collision
4.40, 0.00, 0.3104, 0.0005, 9.8862e-03, 0.2940, 0.0004, -6.2962e+00, 0.2152, 0.0006, -5.2983e-01, 0.1746, 0.0004, 1.1170e-01, 4.6784e+05, 398.68499, collision
4.58, 0.00, 0.2275, 0.0001, 9.1906e-01, 0.2491, 0.0001, 8.1330e-01, 0.2059, 0.0003, -6.2273e-01, 0.2024, 0.0002, 2.6776e-02, 4.7434e+05, 397.99904, collision
4.57, 0.00, 0.4759, 0.0005, 7.9156e-01, 0.3172, 0.0003, -4.0970e-01, 0.2971, 0.0001, 1.3839e-03, 0.3740, 0.0003, 2.8964e+00, 5.2624e+05, 439.85840, collision
4.43, 0.00, 0.3069, 0.0003, -3.2769e-02, 0.3192, 0.0003, 7.8433e-02, 0.3667, 0.0004, 1.1664e+00, 0.1948, 0.0003, -8.4998e-02, 5.1809e+05, 440.91368, collision
4.75, 0.00, 0.2689, 0.0003, 7.8222e-01, 0.3305, 0.0002, -2.7972e-01, 0.2559, 0.0001, 7.8802e-02, 0.1351, 0.0000, 4.7011e-02, 4.8767e+05, 403.40962, collision
4.78, 0.00, 0.4774, 0.0004, 1.1383e+00, 0.5789, 0.0002, -5.2136e-01, 0.4311, 0.0002, 1.4285e+00, 0.6575, 0.0002, -9.4852e-02, 4.5696e+05, 383.55190, d<R_roche
4.55, 0.00, 0.2666, 0.0003, -3.6980e-02, 0.4474, 0.0003, 4.2814e-01, 0.2532, 0.0002, 2.3095e-01, 0.1559, 0.0002, -1.6272e-02, 6.0098e+05, 499.44633, collision
4.56, 0.00, 0.2629, 0.0002, 2.5586e-02, 0.2101, 0.0002, 5.8651e+00, 0.3038, 0.0003, 2.4058e-01, 0.1499, 0.0002, 2.8896e-02, 6.1233e+05, 507.58227, collision
4.96, 0.00, 0.4023, 0.0004, 6.5557e-03, 0.3355, 0.0002, -1.0995e-01, 0.2350, 0.0001, 3.4582e+00, 0.0804, 0.0001, 4.0114e-02, 3.2020e+05, 273.30801, collision
4.79, 0.00, 0.2025, 0.0003, 8.2369e-01, 0.1845, 0.0002, -2.9471e-01, 0.2385, 0.0001, 6.0154e-02, 0.1488, 0.0001, 6.7697e-03, 5.2353e+05, 431.96404, collision
4.49, 0.00, 0.2513, 0.0003, 6.2352e-02, 0.2389, 0.0007, 2.9755e-01, 0.2558, 0.0002, 8.4809e-01, 0.3929, 0.0002, -4.0137e-01, 6.6713e+05, 554.93079, collision
4.60, 0.00, 0.3303, 0.0003, 2.9211e-02, 0.4234, 0.0001, 4.6490e-01, 0.1713, 0.0002, 7.9580e-02, 0.2486, 0.0001, 8.4177e-02, 6.7971e+05, 557.45827, collision
4.73, 0.00, 0.5604, 0.0002, 2.2344e-02, 0.3406, 0.0001, 1.5540e-01, 0.5187, 0.0001, 3.8170e-01, 0.1631, 0.0002, 3.1022e-01, 6.1023e+05, 499.75581, collision
4.53, 0.00, 0.3765, 0.0011, 5.6866e-01, 0.2856, 0.0002, -2.6388e-01, 0.4574, 0.0002, 5.2156e-01, 0.3188, 0.0000, -2.7800e-03, 6.9135e+05, 571.30897, collision
4.86, 0.00, 0.3434, 0.0000, 1.3583e+00, 0.4128, 0.0003, -4.9277e-01, 0.3585, 0.0002, 9.8106e-01, 0.1415, 0.0001, 1.6699e-01, 5.1703e+05, 427.40594, collision
4.77, 0.00, 0.4296, 0.0002, -2.4596e-01, 0.7864, 0.0001, 2.6471e+00, 0.4841, 0.0000, -1.4458e-01, 0.2579, 0.0001, 4.8964e-01, 6.0016e+05, 492.77552, d<R_roche
4.62, 0.00, 0.2371, 0.0004, 1.3352e-01, 0.2382, 0.0002, 6.9188e-01, 0.2718, 0.0002, -3.1021e-01, 0.3566, 0.0000, 2.2232e-01, 7.1840e+05, 591.07960, collision
4.74, 0.00, 0.2684, 0.0004, 1.9661e-01, 0.2640, 0.0001, 1.0514e-01, 0.2098, 0.0002, -3.8405e-02, 0.2449, 0.0001, 4.4581e-02, 6.5677e+05, 535.31552, collision
