# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, t_end(PM), wall_time, fate
8.67, 0.27, 0.4986, 0.0127, 2.9234e-04, 0.4205, 0.0170, -1.8624e-02, 0.3746, 0.1653, 5.1482e-02, 1.0000e+05, 40.78137, tmax
9.10, 0.17, 0.2733, 0.1664, -1.5085e-04, 0.1800, 0.0258, 2.8001e-03, 0.2029, 0.0635, 1.7929e-02, 1.0000e+05, 40.16396, tmax
7.29, 0.24, 0.4289, 0.2262, 1.5777e-03, 0.2522, 0.1794, 1.0489e-02, 0.2533, 0.0406, 2.3063e-02, 1.0000e+05, 40.83134, tmax
8.27, 0.20, 0.2971, 0.1892, 2.3575e-04, 0.2294, 0.0936, 1.0786e-02, 0.2195, 0.1102, 4.1061e-04, 1.0000e+05, 40.44496, tmax
8.27, 0.24, 0.3721, 0.2210, -4.5522e-04, 0.2788, 0.0870, 1.1021e-02, 0.2505, 0.1251, -2.9335e-03, 1.0000e+05, 40.87595, tmax
9.64, 0.22, 0.3483, 0.2194, 1.0044e-04, 0.2185, 0.0137, 1.3040e-02, 0.2815, 0.0431, -2.1399e-04, 1.0000e+05, 40.74646, tmax
7.37, 0.27, 0.4947, 0.2672, 6.5050e-04, 0.2969, 0.1430, -4.9065e-03, 0.2907, 0.0668, 7.4386e-03, 1.0000e+05, 41.23453, tmax
9.10, 0.29, 0.4831, 0.2907, -2.5999e-05, 0.2916, 0.0424, -1.1307e-02, 0.3323, 0.1334, 6.8769e-02, 1.0000e+05, 41.43132, tmax
8.02, 0.23, 0.3788, 0.1894, -2.0296e-04, 0.3048, 0.0727, 5.8197e-03, 0.2454, 0.1152, -8.1669e-03, 1.0000e+05, 40.60520, tmax
5.32, 0.24, 0.2374, 0.1011, 1.1901e+00, 0.3939, 0.0349, -4.8018e-01, 0.4320, 0.2298, 2.7589e-01, 1.7341e+03, 0.68743, collision
4.34, 0.28, 0.0000, 1.0000, -1.6737e-01, 0.0000, 1.0000, 7.5751e-01, 0.0000, 1.0000, 2.6352e-01, 2.6339e+02, 0.11077, collision
