#delta_H, max e_m1, max e_m2, max e_m3, max e_m4, max e_m5, sim finish time (n Pmoon), wall_time
4.65, 0.0338, 0.0299, 0.0217, 0.0346, 0.0274, 4.4369e+03, 9.30583
4.90, 0.0514, 0.0554, 0.0569, 0.0395, 0.0562, 4.9071e+03, 10.45093
4.53, 0.0333, 0.0264, 0.0155, 0.0389, 0.0218, 4.6831e+03, 10.02935
4.66, 0.0833, 0.1159, 0.0506, 0.1069, 0.1893, 3.0373e+03, 6.60034
4.10, 0.0683, 0.0606, 0.0637, 0.0570, 0.0491, 1.0820e+04, 23.23789
4.15, 0.0536, 0.0666, 0.0610, 0.0551, 0.0305, 1.8820e+04, 39.83250
4.46, 0.0372, 0.0368, 0.0576, 0.0878, 0.0726, 5.1723e+03, 10.90589
4.36, 0.0365, 0.0274, 0.0374, 0.0297, 0.0379, 9.8601e+03, 20.99529
4.91, 0.0854, 0.1688, 0.1205, 0.0702, 0.0192, 3.7288e+03, 8.21101
4.26, 0.0445, 0.0793, 0.0413, 0.1404, 0.0904, 9.2340e+03, 19.52337
4.37, 0.1122, 0.1526, 0.1250, 0.1002, 0.0550, 3.0775e+03, 6.68593
4.94, 0.0895, 0.0617, 0.0582, 0.0634, 0.1088, 5.3118e+03, 11.38044
4.92, 0.0966, 0.0489, 0.0749, 0.0656, 0.0414, 3.8425e+03, 8.47022
4.11, 0.0571, 0.0578, 0.1105, 0.0444, 0.0633, 7.0644e+03, 15.05825
4.27, 0.0303, 0.0396, 0.0421, 0.0459, 0.0269, 5.3584e+03, 11.33491
4.95, 0.0241, 0.0313, 0.0696, 0.0227, 0.0246, 4.5081e+03, 9.63954
4.16, 0.0415, 0.0582, 0.0520, 0.0430, 0.0352, 8.9905e+03, 19.42305
4.54, 0.0183, 0.0300, 0.0523, 0.0244, 0.0219, 1.2357e+04, 25.99122
4.38, 0.2273, 0.2085, 0.1300, 0.0639, 0.0939, 7.7198e+03, 17.75593
4.28, 0.0267, 0.0194, 0.0158, 0.0228, 0.0229, 3.5499e+03, 7.44275
4.12, 0.0471, 0.0618, 0.0482, 0.0706, 0.0437, 6.7123e+03, 14.35874
4.55, 0.0142, 0.0192, 0.0104, 0.0105, 0.0019, 2.8925e+03, 6.31833
4.39, 0.0159, 0.0353, 0.0397, 0.0552, 0.0616, 2.3077e+03, 4.94945
4.96, 0.0490, 0.0301, 0.0597, 0.0862, 0.0542, 6.7609e+03, 14.27241
4.47, 0.2296, 0.1963, 0.8423, 0.6743, 0.5274, 1.4346e+04, 33.32223
4.29, 0.0193, 0.0312, 0.0128, 0.0249, 0.0336, 7.9021e+03, 16.90078
4.93, 0.0667, 0.0440, 0.0453, 0.0539, 0.0362, 1.4871e+04, 31.36863
4.48, 0.0206, 0.0316, 0.0421, 0.0270, 0.0119, 4.6833e+03, 9.97924
4.56, 0.1033, 0.1681, 0.1808, 0.1049, 0.1509, 9.5736e+03, 20.66595
4.30, 0.0163, 0.0306, 0.0336, 0.0314, 0.0203, 3.7977e+03, 7.99932
5.03, 0.1429, 0.2743, 0.1543, 0.0881, 0.0950, 1.0825e+04, 23.83087
4.17, 0.0391, 0.0598, 0.0739, 0.0505, 0.0519, 1.6260e+04, 34.61006
5.39, 0.1525, 0.0983, 0.1346, 0.1050, 0.1200, 2.4462e+03, 5.59351
5.30, 0.0586, 0.0584, 0.0538, 0.0560, 0.0253, 7.7937e+03, 16.46339
5.40, 0.0607, 0.0419, 0.0921, 0.0428, 0.0756, 2.3846e+03, 5.01342
5.41, 0.0195, 0.0527, 0.0703, 0.0253, 0.0423, 1.4754e+03, 3.27380
4.57, 0.0304, 0.0147, 0.0191, 0.0188, 0.0127, 8.7427e+03, 18.40920
4.97, 0.0611, 0.0570, 0.0399, 0.0518, 0.0463, 1.7447e+04, 36.80931
5.21, 0.1799, 0.2129, 0.1823, 0.3145, 0.2264, 1.2700e+04, 28.15577
5.48, 0.0690, 0.0501, 0.0394, 0.0252, 0.0618, 1.5533e+03, 3.29157
5.42, 0.1446, 0.1707, 0.1142, 0.0707, 0.0460, 5.2181e+03, 11.42839
5.43, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 5.4573e+02, 1.17942
5.49, 0.1169, 0.1019, 0.0492, 0.1693, 0.2074, 4.5900e+03, 10.39754
5.31, 0.2545, 0.2160, 0.2452, 0.2807, 0.2662, 1.1646e+04, 26.17605
