# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
8.00, 0.00, 0.0007, 0.0000, 9.2485e-06, 0.1526, 0.0000, -1.8070e-02, 1.0000e+07, 2678.62926, tmax
8.24, 0.00, 0.0003, 0.0000, 1.3520e-05, 0.1731, 0.0002, 1.8174e-01, 1.0000e+07, 2680.15599, tmax
5.17, 0.00, 0.0269, 0.0000, 7.2693e-04, 0.0868, 0.0001, 9.2600e-02, 1.0000e+07, 2712.27560, tmax
6.62, 0.00, 0.0455, 0.0000, -1.3344e-04, 0.1068, 0.0001, 6.8442e-02, 1.0000e+07, 2690.62917, tmax
6.37, 0.00, 0.0435, 0.0000, 8.5483e-05, 0.1026, 0.0001, -7.1199e-03, 1.0000e+07, 2702.86136, tmax
5.22, 0.00, 0.0271, 0.0000, -1.9256e-04, 0.0873, 0.0001, 8.1205e-03, 1.0000e+07, 2721.46888, tmax
6.52, 0.00, 0.0477, 0.0000, 1.3621e-04, 0.1052, 0.0001, 1.1155e-01, 1.0000e+07, 2688.17793, tmax
4.76, 0.00, 0.0255, 0.0000, 1.4112e-04, 0.0826, 0.0001, 8.1111e-02, 1.0000e+07, 2694.39719, tmax
6.00, 0.00, 0.0334, 0.0000, -1.8809e-04, 0.0968, 0.0001, 1.5827e-02, 1.0000e+07, 2684.47305, tmax
4.99, 0.00, 0.0262, 0.0000, -3.3089e-05, 0.0848, 0.0001, 2.2728e-03, 1.0000e+07, 2708.95243, tmax
3.67, 0.00, 0.0199, 0.0000, -2.6470e-03, 0.0720, 0.0000, 4.0552e-02, 1.0000e+07, 2745.79223, tmax
7.13, 0.00, 0.0104, 0.0000, -9.3024e-05, 0.1181, 0.0001, 6.6384e-02, 1.0000e+07, 2775.30848, tmax
6.10, 0.00, 0.0354, 0.0000, 5.6364e-05, 0.0984, 0.0001, -3.0629e-03, 1.0000e+07, 2742.36768, tmax
5.01, 0.00, 0.0263, 0.0000, -6.2381e-04, 0.0851, 0.0001, 2.2716e-02, 1.0000e+07, 2722.99526, tmax
7.11, 0.00, 0.0111, 0.0000, 8.2118e-05, 0.1175, 0.0001, 1.2601e-01, 1.0000e+07, 2681.29979, tmax
4.09, 0.00, 0.0238, 0.0000, 4.3608e-05, 0.0760, 0.0001, -1.0335e-03, 1.0000e+07, 2736.40578, tmax
8.21, 0.00, 0.0004, 0.0000, -2.3088e-05, 0.1702, 0.0001, 1.2780e-01, 1.0000e+07, 2679.86835, tmax
4.78, 0.00, 0.0256, 0.0000, -3.1651e-04, 0.0827, 0.0001, 7.4368e-02, 1.0000e+07, 2735.64399, tmax
6.70, 0.00, 0.0397, 0.0000, 2.1336e-05, 0.1084, 0.0001, -7.7318e-03, 1.0000e+07, 2730.08709, tmax
4.28, 0.00, 0.0245, 0.0000, 3.0335e-04, 0.0780, 0.0001, -5.3999e-03, 1.0000e+07, 2715.63986, tmax
6.59, 0.00, 0.0468, 0.0000, -1.2957e-04, 0.1062, 0.0001, 2.1854e-02, 1.0000e+07, 2691.09062, tmax
5.03, 0.00, 0.0264, 0.0000, 7.5852e-05, 0.0853, 0.0001, -2.0767e-03, 1.0000e+07, 2762.76189, tmax
4.75, 0.00, 0.0255, 0.0000, -9.6932e-04, 0.0824, 0.0000, 5.6473e-02, 1.0000e+07, 2769.71194, tmax
4.05, 0.00, 0.0237, 0.0000, 9.1615e-04, 0.0755, 0.0000, -1.2338e-02, 1.0000e+07, 2741.60071, tmax
8.28, 0.00, 0.0003, 0.0000, -9.5400e-06, 0.1781, 0.0002, -1.6708e-02, 1.0000e+07, 2737.48539, tmax
3.65, 0.00, 0.0242, 0.0000, 8.0233e-04, 0.0720, 0.0001, -9.6278e-03, 1.0000e+07, 2865.27600, tmax
5.28, 0.00, 0.0273, 0.0000, 1.0164e-04, 0.0880, 0.0001, -1.3873e-03, 1.0000e+07, 2807.13574, tmax
4.03, 0.00, 0.0236, 0.0000, -3.7952e-04, 0.0755, 0.0001, 4.6294e-03, 1.0000e+07, 2807.02084, tmax
5.72, 0.00, 0.0300, 0.0000, -3.9885e-04, 0.0932, 0.0000, 5.9094e-02, 1.0000e+07, 2745.08312, tmax
4.19, 0.00, 0.0238, 0.0000, 6.1729e-04, 0.0769, 0.0000, -9.4752e-03, 1.0000e+07, 2776.62178, tmax
6.67, 0.00, 0.0422, 0.0000, 1.2430e-04, 0.1077, 0.0001, 1.1250e-01, 1.0000e+07, 2685.10331, tmax
5.12, 0.00, 0.0267, 0.0000, -7.6933e-04, 0.0862, 0.0001, 3.9197e-02, 1.0000e+07, 2845.66006, tmax
8.20, 0.00, 0.0004, 0.0000, -3.2907e-06, 0.1691, 0.0001, 1.3546e-01, 1.0000e+07, 2816.22513, tmax
6.96, 0.00, 0.0180, 0.0000, 1.9643e-05, 0.1139, 0.0000, 1.0854e-01, 1.0000e+07, 2761.10900, tmax
4.80, 0.00, 0.0340, 0.0000, -9.9604e-05, 0.0909, 0.0001, 7.9839e-02, 1.0000e+07, 2696.78341, tmax
8.64, 0.00, 0.0001, 0.0000, -8.2922e-06, 0.2017, 0.0808, 1.6351e-01, 9.9043e+02, 0.29267, a>0.4R_H
4.17, 0.00, 0.0239, 0.0000, 2.7935e-03, 0.0768, 0.0001, 8.9873e-02, 1.0000e+07, 2849.62026, tmax
